"drug","method","selection","n_selected_genes","n_cosmic_in_selected","n_cosmic_in_universe","odds_ratio","odds_ratio_ha","p_value","cosmic_genes_found","p_adj_bh"
"Palbociclib","EN","freq25",160,14,545,7.71783675915403,7.95952276222553,1.75688073488054e-08,"ACVR1;CCNE1;CDKN2A;ETV4;HRAS;ID3;MAP2K1;MSH6;NOTCH1;POLQ;RB1;SMAD3;STAT5B;WT1",6.04640772393952e-08
"Palbociclib","EN","freq50",38,8,545,21.2732437127348,22.2217155928326,2.05146277338976e-08,"CDKN2A;HRAS;ID3;MAP2K1;POLQ;RB1;SMAD3;WT1",1.94156298195816e-07
"Palbociclib","EN","freq75",7,2,545,31.562966672767,35.8647654093836,0.00316553868715281,"CDKN2A;RB1",0.0133153611443729
"Palbociclib","EN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"ACVR1;BCL11A;HRAS;ID3;MAP2K1;NOTCH1;RB1;WT1",4.35827007022804e-06
"Dactolisib","DSEN","freq25",16,1,545,5.25354676205273,7.61992357593531,0.182965850775659,"CDKN1A",0.278654887675573
"Dactolisib","DSEN","freq50",4,0,545,0,8.73500356451777,1,"",1
"Dactolisib","DSEN","freq75",2,0,545,0,15.7237396883593,1,"",1
"Dactolisib","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CDKN1A;NRG1;SYK",0.0335160617475657
"Dactolisib","EN","freq25",236,20,545,7.52552204806956,7.68902595790219,2.79714846627226e-11,"APC;APOBEC3B;BAP1;BRIP1;CACNA1D;CCND1;CDKN1A;ERBB3;ETV4;KIT;MAP3K1;NRG1;PDGFRA;POLQ;RB1;SETD1B;STK11;SYK;WRN;WT1",1.7238240547957e-10
"Dactolisib","EN","freq50",29,5,545,16.5331895812217,17.8032245275539,2.82770626535667e-05,"APC;BRIP1;CACNA1D;CDKN1A;MAP3K1",9.25113778172243e-05
"Dactolisib","EN","freq75",8,1,545,11.2564690647652,15.7507805325987,0.0960921210561774,"MAP3K1",0.207027740486886
"Dactolisib","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"BRIP1;CACNA1D;CCND1;ETV4",0.00746615457546488
"Pictilisib","DSEN","freq25",1,0,545,0,26.2068438741216,1,"",1
"Pictilisib","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Pictilisib","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Pictilisib","DSEN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"ASXL1",0.534945367332532
