"gene_symbol","role","is_og","is_tsg","is_fusion","tumour_types_somatic"
"CASP8","TSG",0,1,0,"bladder;breast;cervix;colorectal;head_and_neck;pan-gynecological and breast;skin"
"CASP9","TSG",0,1,0,"multiple"
"CBFA2T3","TSG;fusion",0,1,1,"blood"
"CBFB","TSG;fusion",0,1,1,"breast;cervix"
"CBL","OG;TSG;fusion",1,1,1,"blood;brain;breast;lung;skin"
"CBLB","TSG",0,1,0,"blood;breast"
"CBLC","OG;TSG",1,1,0,"ovary"
"CCDC6","TSG;fusion",0,1,1,"multiple"
"CCNB1IP1","TSG;fusion",0,1,1,"multiple"
"CCNC","TSG",0,1,0,"multiple"
"CCND1","OG;fusion",1,0,1,"blood;brain;breast;head_and_neck;hepatobiliary;pan-gynecological and breast;parathyroid_gland;prostate;uterus"
"CCND2","OG;fusion",1,0,1,"brain"
"CCND3","OG;fusion",1,0,1,"bladder;blood;brain;breast;hepatobiliary"
"CCNE1","OG",1,0,0,"breast;hepatobiliary"
"CCR4","OG",1,0,0,"blood"
"CCR7","OG",1,0,0,"blood"
"CD274","TSG;fusion",0,1,1,"multiple"
"CD28","OG",1,0,0,"blood"
"CD74","OG;fusion",1,0,1,"multiple"
"CD79A","OG",1,0,0,"blood"
"CD79B","OG",1,0,0,"blood"
"CDC73","TSG",0,1,0,"parathyroid_gland;stomach"
"CDH1","TSG",0,1,0,"breast;colorectal;esophagus;pan-gastric;pan-gynecological and breast;soft_tissue;stomach"
"CDH10","TSG",0,1,0,"head_and_neck;lung;pancreas"
"CDH11","TSG;fusion",0,1,1,"lung"
"CDH17","OG",1,0,0,"multiple"
"CDK12","TSG",0,1,0,"ovary;prostate"
"CDK4","OG",1,0,0,"brain;soft_tissue"
"CDK6","OG;fusion",1,0,1,"brain;breast"
"CDKN1A","OG;TSG",1,1,0,"bladder;hepatobiliary;kidney;thyroid"
"CDKN1B","TSG",0,1,0,"blood;breast;esophagus;hepatobiliary;pan-gynecological and breast;prostate;small_intestine;thyroid"
"CDKN2A","TSG",0,1,0,"bladder;blood;bone;brain;breast;esophagus;head_and_neck;hepatobiliary;lung;pan-gastric;pancreas;peripheral_nervous_system;prostate;skin;small_intestine;soft_tissue;thymus;uvea"
"CDKN2C","TSG",0,1,0,"thyroid"
"CDX2","TSG;fusion",0,1,1,"head_and_neck"
"CEBPA","TSG",0,1,0,"blood"
"CHD2","TSG",0,1,0,"blood;brain"
"CHD4","OG",1,0,0,"colorectal;esophagus;pan-gynecological and breast;stomach;uterus"
"CHEK2","TSG",0,1,0,"blood;brain;breast;soft_tissue;thyroid"
"CHST11","OG;fusion",1,0,1,"multiple"
"CIC","OG;TSG;fusion",1,1,1,"brain;breast;stomach"
"CIITA","TSG;fusion",0,1,1,"blood;breast"
"CLTC","TSG;fusion",0,1,1,"multiple"
"CLTCL1","TSG;fusion",0,1,1,"head_and_neck"
"CNBP","TSG;fusion",0,1,1,"multiple"
"CNOT3","TSG",0,1,0,"blood;breast"
"COL2A1","fusion",0,0,1,"bone"
"CPEB3","TSG",0,1,0,"multiple"
"CREB1","OG;fusion",1,0,1,"multiple"
"CREB3L1","TSG;fusion",0,1,1,"multiple"
"CREB3L2","OG;fusion",1,0,1,"multiple"
"CREBBP","OG;TSG;fusion",1,1,1,"bladder;blood;breast;esophagus;hepatobiliary;lung;retina;soft_tissue"
"CRLF2","OG;fusion",1,0,1,"multiple"
"CRTC1","OG;fusion",1,0,1,"kidney"
"CSF1R","OG",1,0,0,"multiple"
"CSF3R","OG",1,0,0,"multiple"
"CTCF","TSG",0,1,0,"blood;breast;colorectal;pan-gynecological and breast;stomach;uterus"
"CTNNA2","OG",1,0,0,"pancreas;stomach"
"CTNNB1","OG;fusion",1,0,1,"adrenal_gland;brain;breast;colorectal;esophagus;hepatobiliary;lung;ovary;pan-gastric;pan-gynecological and breast;pancreas;prostate;skin;small_intestine;soft_tissue;stomach;thyroid;uterus"
"CTNND2","OG",1,0,0,"multiple"
"CUL3","TSG",0,1,0,"esophagus;kidney;lung"
"CUX1","OG;TSG",1,1,0,"blood;breast"
"CXCR4","OG",1,0,0,"blood"
"CYLD","TSG",0,1,0,"blood;head_and_neck;skin;thymus"
"CYSLTR2","OG",1,0,0,"uvea"
"DAXX","OG;TSG",1,1,0,"adrenal_gland;blood;brain;breast;pancreas;thyroid"
"DDB2","OG;TSG",1,1,0,"multiple"
"DDIT3","OG;fusion",1,0,1,"multiple"
"DDR2","OG",1,0,0,"breast;hepatobiliary;stomach"
"DDX10","TSG;fusion",0,1,1,"blood"
"DDX3X","TSG",0,1,0,"blood;brain;head_and_neck;pleura;skin"
"DDX5","OG;fusion",1,0,1,"brain"
"DDX6","OG;fusion",1,0,1,"multiple"
"DEK","OG;fusion",1,0,1,"multiple"
"DGCR8","OG",1,0,0,"multiple"
"DICER1","TSG",0,1,0,"breast;uterus"
"DNM2","TSG",0,1,0,"blood"
"DNMT3A","TSG",0,1,0,"blood;brain;breast;skin;thyroid"
"DROSHA","TSG",0,1,0,"stomach"
"EBF1","TSG;fusion",0,1,1,"blood"
"EED","TSG",0,1,0,"blood;peripheral_nervous_system"
"EGFR","OG",1,0,0,"brain;breast;hepatobiliary;lung;stomach"
"EIF3E","TSG;fusion",0,1,1,"multiple"
"ELF3","TSG",0,1,0,"bladder;cervix;colorectal;esophagus;hepatobiliary;pan-gastric;small_intestine;stomach"
"ELF4","OG;TSG;fusion",1,1,1,"blood"
"ELK4","OG;fusion",1,0,1,"multiple"
"ELL","TSG;fusion",0,1,1,"head_and_neck"
"EP300","TSG;fusion",0,1,1,"bladder;blood;brain;breast;cervix;esophagus;head_and_neck;lung;pan-gynecological and breast;pancreas"
"EPAS1","OG;TSG",1,1,0,"adrenal_gland"
"EPS15","TSG;fusion",0,1,1,"multiple"
"ERBB2","OG;fusion",1,0,1,"bladder;brain;breast;esophagus;head_and_neck;hepatobiliary;lung;pan-gastric;skin;small_intestine;stomach;thyroid;uterus"
"ERBB3","OG",1,0,0,"bladder;breast;cervix;colorectal;head_and_neck;hepatobiliary;small_intestine;stomach;uterus"
"ERBB4","OG;TSG",1,1,0,"breast;hepatobiliary;lung;skin;soft_tissue;stomach"
"ERCC2","TSG",0,1,0,"bladder;kidney"
"ERCC3","TSG",0,1,0,"multiple"
"ERCC4","TSG",0,1,0,"bladder;breast"
"ERCC5","TSG",0,1,0,"multiple"
"ERG","OG;fusion",1,0,1,"breast;head_and_neck;prostate"
"ESR1","OG;TSG;fusion",1,1,1,"breast;uterus"
"ETNK1","TSG",0,1,0,"blood"
"ETV1","OG;fusion",1,0,1,"multiple"
"ETV4","OG;fusion",1,0,1,"multiple"
"ETV5","OG;fusion",1,0,1,"multiple"
"ETV6","TSG;fusion",0,1,1,"blood;breast"
"EWSR1","OG;fusion",1,0,1,"blood"
"EXT1","TSG;fusion",0,1,1,"multiple"
"EXT2","TSG",0,1,0,"breast"
"EZH2","OG;TSG",1,1,0,"blood;bone;skin;stomach;uvea"
"FANCA","TSG",0,1,0,"bladder;blood;bone;stomach"
"FANCC","TSG",0,1,0,"multiple"
"FANCD2","TSG",0,1,0,"multiple"
"FANCE","TSG",0,1,0,"multiple"
"FANCF","TSG",0,1,0,"multiple"
"FANCG","TSG",0,1,0,"multiple"
"FAS","TSG",0,1,0,"blood;breast"
"FAT1","TSG",0,1,0,"bladder;blood;colorectal;esophagus;head_and_neck;kidney;lung;penis;stomach"
"FAT4","TSG",0,1,0,"bladder;blood;colorectal;lung;skin;stomach"
"FBLN2","TSG",0,1,0,"pancreas"
"FBXO11","TSG",0,1,0,"blood;head_and_neck"
"FBXW7","TSG",0,1,0,"bladder;blood;breast;cervix;colorectal;esophagus;head_and_neck;hepatobiliary;lung;pan-gastric;pan-gynecological and breast;pancreas;skin;small_intestine;soft_tissue;stomach;uterus"
"FCGR2B","OG;fusion",1,0,1,"multiple"
"FCRL4","OG;fusion",1,0,1,"multiple"
"FEN1","TSG",0,1,0,"head_and_neck"
"FES","OG;TSG",1,1,0,"multiple"
"FEV","OG;fusion",1,0,1,"multiple"
"FGFR1","OG;fusion",1,0,1,"brain;breast;hepatobiliary;peripheral_nervous_system"
"FGFR2","OG;fusion",1,0,1,"blood;brain;breast;head_and_neck;hepatobiliary;uterus"
"FGFR3","OG;fusion",1,0,1,"bladder;blood;brain;hepatobiliary;lung;skin"
"FGFR4","OG",1,0,0,"brain;lung"
"FH","TSG",0,1,0,"breast;uterus"
"FHIT","TSG;fusion",0,1,1,"multiple"
"FLCN","TSG",0,1,0,"kidney"
"FLI1","OG;fusion",1,0,1,"blood"
"FLT3","OG",1,0,0,"blood;lung"
"FLT4","OG",1,0,0,"soft_tissue"
