"drug","mse_en","mse_dsen","mse_tglasso","pct_improvement_dsen","pct_improvement_tglasso","winner"
"Masitinib",0.00962346390074181,0.00875871250944349,0.0123261436919304,8.98586413600681,-28.0842721400998,"DSEN"
"Amuvatinib",0.0233940174325252,0.022878844367704,0.0243321425014469,2.20215730926549,-4.01010673616668,"DSEN"
"MPS-1-IN-1",0.00872653033358416,0.0072177098803569,0.0097726311075068,17.2900384866657,-11.9875911036109,"DSEN"
"NVP-BHG712",0.0211161483147326,0.0179560483167706,0.0267392834741399,14.9653239353183,-26.6295494594726,"DSEN"
"OSI-930",0.00367162232316156,0.00340953165419121,0.00395336512110374,7.13827964594869,-7.67352339495467,"DSEN"
"OSI-027",0.0664521097760264,0.0629558979240662,0.082394080646814,5.26125034064986,-23.9901651347402,"DSEN"
"CX-5461",0.0303337100373617,0.0260845084150649,0.0364457916622826,14.0081830315616,-20.1494694100811,"DSEN"
"PHA-793887",0.0356566851312723,0.0314531096853938,0.0497385646138922,11.7890247800736,-39.4929574377893,"DSEN"
"PI-103",0.0586975957178331,0.0564777195988334,0.0744114024101387,3.78188593902709,-26.7707842206074,"DSEN"
"PIK-93",0.0294463576900184,0.0228254099983954,0.0382569131158415,22.4847764240375,-29.9206968772565,"DSEN"
"SB52334",0.00811924228969814,0.00782572232590538,0.00836611994362317,3.61511522035971,-3.04064893146831,"DSEN"
"TPCA-1",0.0230358788609607,0.0187118193803924,0.029064132048894,18.7709768169356,-26.1689741655548,"DSEN"
"Fedratinib",0.0175516076596011,0.0159066730130386,0.0239154659818894,9.37198847230775,-36.2579795863152,"DSEN"
"WIKI4",0.0210859300865235,0.0200381107143965,0.0248192014078714,4.96928220774422,-17.7050350922577,"DSEN"
"Y-39983",0.00856771632374507,0.00792674724171298,0.0103948055455882,7.48121270373612,-21.3252768042685,"DSEN"
"YM201636",0.00753484679553434,0.00658214019772474,0.00852503546962021,12.6440075513445,-13.1414572977479,"DSEN"
"Tivozanib",0.00174165133791081,0.00158231062073211,0.00178442582501036,9.14882983237256,-2.45597302792302,"DSEN"
"GSK690693",0.0248984025763746,0.0232671157893161,0.0309549054401666,6.55177287801742,-24.3248652005444,"DSEN"
"QL-XI-92",0.00537739669913967,0.00493428966656789,0.00677544230668792,8.24017749411482,-25.998558145653,"DSEN"
"XMD13-2",0.00687879745078353,0.00614772361725737,0.0084396475879677,10.6279308085004,-22.6907413447154,"DSEN"
"QL-X-138",0.0305679134308724,0.0275252184854697,0.03742550497488,9.95388498558654,-22.4339536930306,"DSEN"
"XMD15-27",0.000786447870915692,0.000771490394663147,0.000813890222307746,1.90190307656748,-3.48940500787444,"DSEN"
"T0901317",0.00462387732491282,0.00448481131130794,0.00487789069792627,3.0075627840646,-5.49351453692036,"DSEN"
"Selisistat",0.000243454103252557,0.000243454003835945,0.000252219962758245,4.08358744662006e-05,-3.60062097478571,"DSEN"
"THZ-2-49",0.0474794169619768,0.0427482733792192,0.0559150922838825,9.96462021963426,-17.7670153967166,"DSEN"
"KIN001-270",0.000850600509007119,0.00080678794067746,0.000975470966029625,5.15078087371475,-14.6802706676326,"DSEN"
"AICA Ribonucleotide",0.0115383862968197,0.0106443905512132,0.0141301868495809,7.74801365293958,-22.4624179333948,"DSEN"
"Camptothecin",0.0428494955962524,0.0405096877346998,0.0492003792748328,5.46052603185659,-14.8213732512077,"DSEN"
"Vinblastine",0.0335845838268718,0.0323995236858699,0.0392072811078958,3.52858367133823,-16.7418995275003,"DSEN"
"Cisplatin",0.00618795074783223,0.00597492290652487,0.00660420848330845,3.44262341425372,-6.72690770239313,"DSEN"
"Cytarabine",0.0306003100714139,0.0289432204765148,0.0332335381074906,5.41527060030388,-8.60523318205393,"DSEN"
"Docetaxel",0.0186396133750115,0.0166590643394358,0.0215469938820381,10.6254834568127,-15.5978584347907,"DSEN"
"Methotrexate",0.0172048363421,0.0149786387532436,0.0243083638782466,12.9393709105441,-41.2879692366754,"DSEN"
"Tretinoin",0.0110907191663181,0.0107040166946942,0.0120435963615788,3.48672133722667,-8.59166282160074,"DSEN"
"Gefitinib",0.00489871200110482,0.00404651788063099,0.00528570188401621,17.3962894793903,-7.89982923723852,"DSEN"
"Navitoclax",0.0304771781561346,0.0282412381446065,0.0366362369912407,7.33644040164538,-20.208756872284,"DSEN"
"Vorinostat",0.0169707775590949,0.0154709881345816,0.0220856251887482,8.83748207346894,-30.1391472007844,"DSEN"
"Nilotinib",0.00968717296524351,0.00771914671709674,0.0164535682896638,20.3157954875775,-69.8490194063568,"DSEN"
"Refametinib_repl_1014",0.0273062198225003,0.0263196109842175,0.0342252400266207,3.6131286010883,-25.3386233945833,"DSEN"
"CI-1040",0.0209529003167445,0.0195399419260148,0.0245353803835543,6.74349788988655,-17.0977765018376,"DSEN"
"Temsirolimus",0.0312977419305334,0.0304144121988512,0.0342586615163669,2.82234332956921,-9.46048948964237,"DSEN"
"Olaparib_repl_1017",0.00179565634676234,0.00176922555468158,0.00186865600545161,1.471929310328,-4.06534684773577,"DSEN"
